,acceleration,SPEED,Frequency
160,-3.1,6.0,1.4204141927786142e-05
161,-3.1,13.0,2.8408283855572286e-06
162,-3.1,18.0,2.8408283855572286e-06
163,-3.1,33.0,2.8408283855572286e-06
164,-3.1,35.0,2.8408283855572286e-06
165,-3.1,36.0,2.8408283855572286e-06
166,-3.1,58.0,2.8408283855572286e-06
167,-3.0,1.0,3.1249112241129516e-05
168,-3.0,2.0,3.408994062668674e-05
169,-3.0,3.0,8.522485156671685e-06
170,-3.0,4.0,5.681656771114457e-06
171,-3.0,5.0,5.681656771114457e-06
172,-3.0,6.0,5.681656771114457e-06
173,-3.0,11.0,5.681656771114457e-06
174,-3.0,13.0,2.8408283855572286e-06
175,-3.0,15.0,2.8408283855572286e-06
176,-3.0,19.0,2.8408283855572286e-06
177,-3.0,22.0,2.8408283855572286e-06
178,-3.0,23.0,2.8408283855572286e-06
179,-3.0,33.0,2.8408283855572286e-06
180,-3.0,34.0,2.8408283855572286e-06
181,-3.0,36.0,2.8408283855572286e-06
182,-3.0,58.0,2.8408283855572286e-06
183,-2.9,1.0,3.693076901224397e-05
184,-2.9,2.0,7.102070963893072e-05
185,-2.9,3.0,8.522485156671685e-06
186,-2.9,5.0,2.8408283855572286e-06
187,-2.9,6.0,1.1363313542228914e-05
188,-2.9,7.0,5.681656771114457e-06
189,-2.9,18.0,2.8408283855572286e-06
190,-2.9,24.0,2.8408283855572286e-06
191,-2.9,30.0,2.8408283855572286e-06
192,-2.9,38.0,2.8408283855572286e-06
193,-2.9,41.0,5.681656771114457e-06
194,-2.9,56.0,2.8408283855572286e-06
195,-2.8,1.0,3.693076901224397e-05
196,-2.8,2.0,6.817988125337348e-05
197,-2.8,3.0,1.1363313542228914e-05
198,-2.8,4.0,1.1363313542228914e-05
199,-2.8,5.0,5.681656771114457e-06
200,-2.8,6.0,5.681656771114457e-06
201,-2.8,7.0,8.522485156671685e-06
202,-2.8,8.0,2.8408283855572286e-06
203,-2.8,9.0,2.8408283855572286e-06
204,-2.8,12.0,2.8408283855572286e-06
205,-2.8,14.0,2.8408283855572286e-06
206,-2.8,15.0,2.8408283855572286e-06
207,-2.8,16.0,5.681656771114457e-06
208,-2.8,17.0,5.681656771114457e-06
209,-2.8,20.0,2.8408283855572286e-06
210,-2.8,21.0,2.8408283855572286e-06
211,-2.8,25.0,2.8408283855572286e-06
212,-2.8,26.0,2.8408283855572286e-06
213,-2.8,28.0,2.8408283855572286e-06
214,-2.8,31.0,2.8408283855572286e-06
215,-2.8,32.0,2.8408283855572286e-06
216,-2.8,33.0,2.8408283855572286e-06
217,-2.8,39.0,2.8408283855572286e-06
218,-2.7,1.0,3.693076901224397e-05
219,-2.7,2.0,5.397573932558734e-05
220,-2.7,3.0,1.98857986989006e-05
221,-2.7,4.0,1.1363313542228914e-05
222,-2.7,5.0,1.4204141927786142e-05
223,-2.7,6.0,1.1363313542228914e-05
224,-2.7,7.0,8.522485156671685e-06
225,-2.7,11.0,2.8408283855572286e-06
226,-2.7,12.0,2.8408283855572286e-06
227,-2.7,13.0,5.681656771114457e-06
228,-2.7,16.0,2.8408283855572286e-06
229,-2.7,18.0,2.8408283855572286e-06
230,-2.7,20.0,2.8408283855572286e-06
231,-2.7,21.0,2.8408283855572286e-06
232,-2.7,22.0,5.681656771114457e-06
233,-2.7,28.0,2.8408283855572286e-06
